amount,month,category_main,category_sub,date
1830.0,2025-09,生活費,日用品,2025-09-09
688.0,2025-09,生活費,食費,2025-09-09
1100.0,2025-09,生活費,日用品,2025-09-08
54.0,2025-09,生活費,日用品,2025-09-07
217.0,2025-09,生活費,日用品,2025-09-07
1137.0,2025-09,生活費,食費,2025-09-07
2160.0,2025-09,生活費,外食,2025-09-05
439.0,2025-09,生活費,食費,2025-09-04
11102.0,2025-09,固定費,光熱費,2025-09-04
23235.0,2025-08,生活費,食費,2025-08-31
2273.0,2025-08,生活費,食費,2025-08-31
2420.0,2025-08,生活費,外食,2025-08-30
469.0,2025-08,生活費,日用品,2025-08-29
1103.0,2025-08,生活費,食費,2025-08-29
990.0,2025-08,生活費,日用品,2025-08-29
599.0,2025-08,一時費,特別,2025-08-27
294.0,2025-08,生活費,食費,2025-08-26
1051.0,2025-08,生活費,日用品,2025-08-24
699.0,2025-08,生活費,食費,2025-08-24
4715.0,2025-08,生活費,食費,2025-08-23
240.0,2025-08,生活費,外食,2025-08-20
104.0,2025-08,生活費,食費,2025-08-18
908.0,2025-08,生活費,食費,2025-08-17
719.0,2025-08,生活費,食費,2025-08-16
1463.0,2025-08,生活費,食費,2025-08-15
3650.0,2025-08,生活費,外食,2025-08-15
5406.0,2025-08,生活費,食費,2025-08-14
1038.0,2025-08,生活費,外食,2025-08-13
1377.0,2025-08,生活費,食費,2025-08-11
2839.0,2025-08,生活費,食費,2025-08-11
2462.0,2025-10,生活費,日用品,2025-10-10
858.0,2025-10,生活費,食費,2025-10-10
16500.0,2025-10,一時費,旅行,2025-10-10
6580.0,2025-10,一時費,特別,2025-10-09
13762.0,2025-10,固定費,光熱費,2025-10-06
440.0,2025-10,生活費,日用品,2025-10-05
1107.0,2025-10,生活費,食費,2025-10-05
1134.0,2025-10,生活費,食費,2025-10-04
5043.0,2025-10,生活費,外食,2025-10-01
162.0,2025-10,生活費,外食,2025-10-01
287.0,2025-10,生活費,食費,2025-10-01
170.0,2025-09,生活費,食費,2025-09-30
110.0,2025-09,生活費,日用品,2025-09-29
355.0,2025-09,生活費,食費,2025-09-29
807.0,2025-09,生活費,食費,2025-09-28
1131.0,2025-09,生活費,食費,2025-09-28
4905.0,2025-09,生活費,外食,2025-09-27
330.0,2025-09,生活費,日用品,2025-09-26
1127.0,2025-09,一時費,特別,2025-09-23
231.0,2025-09,生活費,食費,2025-09-23
1360.0,2025-09,生活費,外食,2025-09-23
990.0,2025-09,生活費,日用品,2025-09-21
990.0,2025-09,生活費,日用品,2025-09-21
6060.0,2025-09,生活費,日用品,2025-09-21
105.0,2025-09,生活費,食費,2025-09-21
2105.0,2025-09,生活費,日用品,2025-09-21
982.0,2025-09,生活費,食費,2025-09-20
220.0,2025-09,生活費,日用品,2025-09-19
3625.0,2025-09,一時費,旅行,2025-09-18
23400.0,2025-09,一時費,特別,2025-09-17
274.0,2025-09,生活費,食費,2025-09-16
2500.0,2025-09,生活費,外食,2025-09-15
955.0,2025-09,生活費,食費,2025-09-15
2883.0,2025-09,生活費,食費,2025-09-14
2140.0,2025-09,生活費,外食,2025-09-13
675.0,2025-11,一時費,旅行,2025-11-07
850.0,2025-11,一時費,旅行,2025-11-07
1085.0,2025-11,一時費,旅行,2025-11-07
1298.0,2025-11,生活費,日用品,2025-11-07
190.0,2025-11,生活費,食費,2025-11-07
118.0,2025-11,生活費,外食,2025-11-07
13190.0,2025-11,固定費,光熱費,2025-11-07
85.0,2025-11,生活費,食費,2025-11-05
291.0,2025-11,生活費,食費,2025-11-04
220.0,2025-11,生活費,日用品,2025-11-03
2660.0,2025-11,生活費,外食,2025-11-03
2354.0,2025-11,生活費,食費,2025-11-03
939.0,2025-11,生活費,食費,2025-11-03
1709.0,2025-11,生活費,食費,2025-11-02
3960.0,2025-11,生活費,外食,2025-11-02
220.0,2025-10,生活費,日用品,2025-10-31
470.0,2025-10,生活費,食費,2025-10-29
298.0,2025-10,生活費,食費,2025-10-28
2800.0,2025-10,生活費,食費,2025-10-28
759.0,2025-10,生活費,食費,2025-10-28
3636.0,2025-10,生活費,食費,2025-10-27
4953.0,2025-10,生活費,食費,2025-10-25
203.0,2025-10,生活費,食費,2025-10-24
240.0,2025-10,生活費,食費,2025-10-22
339.0,2025-10,生活費,食費,2025-10-20
1940.0,2025-10,生活費,外食,2025-10-20
330.0,2025-10,生活費,日用品,2025-10-19
1384.0,2025-10,生活費,食費,2025-10-19
469.0,2025-10,生活費,食費,2025-10-18
3740.0,2025-10,生活費,外食,2025-10-18
530.0,2025-10,生活費,食費,2025-10-15
1766.0,2025-10,生活費,食費,2025-10-13
3751.0,2025-10,生活費,外食,2025-10-12
1800.0,2025-10,生活費,外食,2025-10-12
218.0,2025-10,生活費,日用品,2025-10-12
2040.0,2025-10,生活費,外食,2025-10-11
220.0,2025-12,生活費,日用品,2025-12-10
1720.0,2025-12,生活費,外食,2025-12-08
1880.0,2025-12,生活費,外食,2025-12-07
1080.0,2025-12,生活費,食費,2025-12-07
330.0,2025-12,生活費,日用品,2025-12-07
2127.0,2025-12,生活費,食費,2025-12-06
1076.0,2025-12,生活費,食費,2025-12-04
13486.0,2025-12,固定費,光熱費,2025-12-04
54.0,2025-12,生活費,食費,2025-12-01
1960.0,2025-12,生活費,外食,2025-12-01
550.0,2025-11,生活費,日用品,2025-11-30
1780.0,2025-11,生活費,食費,2025-11-30
12400.0,2025-11,一時費,旅行,2025-11-30
872.0,2025-11,生活費,食費,2025-11-29
1363.0,2025-11,生活費,食費,2025-11-29
1285.0,2025-11,生活費,食費,2025-11-28
3300.0,2025-11,生活費,食費,2025-11-28
110.0,2025-11,生活費,食費,2025-11-28
330.0,2025-11,生活費,日用品,2025-11-28
9125.0,2025-11,一時費,旅行,2025-11-28
95.0,2025-11,生活費,食費,2025-11-27
8060.0,2025-11,一時費,特別,2025-11-27
2549.0,2025-11,生活費,日用品,2025-11-23
1407.0,2025-11,生活費,食費,2025-11-23
399.0,2025-11,生活費,日用品,2025-11-22
7038.0,2025-11,生活費,食費,2025-11-22
459.0,2025-11,生活費,食費,2025-11-21
5016.0,2025-11,生活費,外食,2025-11-21
5885.0,2025-11,固定費,水道,2025-11-19
196.0,2025-11,生活費,食費,2025-11-18
208.0,2025-11,生活費,食費,2025-11-17
990.0,2025-11,生活費,外食,2025-11-16
1582.0,2025-11,生活費,食費,2025-11-16
123.0,2025-11,生活費,食費,2025-11-15
2680.0,2025-11,一時費,特別,2025-11-15
1408.0,2025-11,生活費,日用品,2025-11-15
832.0,2025-11,生活費,食費,2025-11-12
2000.0,2025-11,保留,要確認,2025-11-07
1770.0,2025-11,保留,要確認,2025-11-07
620.0,2025-11,保留,要確認,2025-11-07
1742.0,2026-01,生活費,食費,2026-01-10
935.0,2026-01,生活費,食費,2026-01-10
1838.0,2026-01,生活費,食費,2026-01-09
12436.0,2026-01,固定費,光熱費,2026-01-08
